numero,PesoGramos
1,606.00
2,812.00
3,1103.00
4,444.00
5,610.00
6,850.00
7,766.00
8,493.00
9,1230.00
10,362.00
11,991.00
12,740.00
13,754.00
14,757.00
15,1067.00
16,1210.00
17,706.00
18,986.00
19,781.00
20,1161.00
21,789.00
22,466.00
23,763.00
24,981.00
25,908.00
26,1036.00
27,230.00
28,766.00
29,839.00
30,856.00
31,804.00
32,813.00
33,862.00
34,925.00
35,780.00
36,871.00
37,758.00
38,505.00
39,834.00
40,1137.00
41,791.00
42,911.00
43,679.00
44,802.00
45,879.00
46,1103.00
47,627.00
48,775.00
49,1091.00
50,898.00
51,1267.00
52,980.00
53,893.00
54,497.00
55,728.00
56,769.00
57,833.00
58,810.00
59,862.00
60,1007.00
61,1044.00
62,776.00
63,1063.00
64,815.00
65,559.00
66,899.00
67,1202.00
68,359.00
69,746.00
70,868.00
71,964.00
72,886.00
73,405.00
74,971.00
75,412.00
76,739.00
77,1452.00
78,927.00
79,545.00
80,761.00
81,403.00
82,953.00
83,719.00
84,525.00
85,685.00
86,869.00
87,680.00
88,794.00
89,580.00
90,1086.00
91,561.00
92,902.00
93,895.00
94,1233.00
95,579.00
96,908.00
97,518.00
98,1352.00
99,860.00
100,453.00
101,828.00
102,865.00
103,992.00
104,698.00
105,832.00
106,842.00
107,603.00
108,480.00
109,1230.00
110,575.00
111,904.00
112,525.00
113,834.00
114,1068.00
115,426.00
116,866.00
117,891.00
118,1243.00
119,762.00
120,803.00
121,1051.00
122,380.00
123,688.00
124,203.00
125,492.00
126,758.00
127,883.00
128,612.00
129,870.00
130,594.00
131,603.00
132,830.00
133,945.00
134,1142.00
135,699.00
136,1096.00
137,965.00
138,748.00
139,1158.00
140,577.00
141,609.00
142,860.00
143,1199.00
144,1090.00
145,880.00
146,689.00
147,762.00
148,783.00
149,666.00
150,867.00
151,177.00
152,1015.00
153,699.00
154,1048.00
155,927.00
156,1262.00
157,911.00
158,706.00
159,915.00
160,1136.00
161,762.00
162,884.00
163,615.00
164,1074.00
165,957.00
166,1003.00
167,1014.00
168,783.00
169,869.00
170,934.00
171,1092.00
172,903.00
173,686.00
174,750.00
175,1139.00
176,1228.00
177,1014.00
178,971.00
179,1084.00
180,112.00
181,671.00
182,823.00
183,571.00
184,787.00
185,914.00
186,1440.00
187,629.00
188,1371.00
189,1042.00
190,776.00
191,907.00
192,580.00
193,436.00
194,983.00
195,913.00
196,993.00
197,473.00
198,443.00
199,623.00
200,652.00
201,605.00
202,887.00
203,1009.00
204,783.00
205,608.00
206,301.00
207,455.00
208,774.00
209,480.00
210,307.00
211,629.00
212,790.00
213,1333.00
214,754.00
215,646.00
216,727.00
217,796.00
218,1036.00
219,568.00
220,532.00
221,992.00
222,850.00
223,853.00
224,735.00
225,659.00
226,841.00
227,785.00
228,594.00
229,898.00
230,790.00
231,944.00
232,977.00
233,434.00
234,871.00
235,933.00
236,995.00
237,1139.00
238,964.00
239,306.00
240,693.00
241,789.00
242,337.00
243,1145.00
244,1158.00
245,582.00
246,928.00
247,890.00
248,761.00
249,1188.00
250,989.00
251,575.00
252,532.00
253,1109.00
